"source_root","source_bucket","skill_name","skill_path","skill_md_path","matched_keywords"
"c:\Users\ChenVincent\.claude\skills","global-claude","agentic-engineering","C:\Users\ChenVincent\.claude\skills\agentic-engineering","C:\Users\ChenVincent\.claude\skills\agentic-engineering\SKILL.md","security"
"c:\Users\ChenVincent\.claude\skills","global-claude","ai-first-engineering","C:\Users\ChenVincent\.claude\skills\ai-first-engineering","C:\Users\ChenVincent\.claude\skills\ai-first-engineering\SKILL.md","security"
"c:\Users\ChenVincent\.claude\skills","global-claude","android-clean-architecture","C:\Users\ChenVincent\.claude\skills\android-clean-architecture","C:\Users\ChenVincent\.claude\skills\android-clean-architecture\SKILL.md","injection;Injection"
"c:\Users\ChenVincent\.claude\skills","global-claude","autonomous-loops","C:\Users\ChenVincent\.claude\skills\autonomous-loops","C:\Users\ChenVincent\.claude\skills\autonomous-loops\SKILL.md","security;vuln;Scan"
"c:\Users\ChenVincent\.claude\skills","global-claude","backend-patterns","C:\Users\ChenVincent\.claude\skills\backend-patterns","C:\Users\ChenVincent\.claude\skills\backend-patterns\SKILL.md","SECRET"
"c:\Users\ChenVincent\.claude\skills","global-claude","build-persona","C:\Users\ChenVincent\.claude\skills\build-persona","C:\Users\ChenVincent\.claude\skills\build-persona\SKILL.md","scan"
"c:\Users\ChenVincent\.claude\skills","global-claude","carrier-relationship-management","C:\Users\ChenVincent\.claude\skills\carrier-relationship-management","C:\Users\ChenVincent\.claude\skills\carrier-relationship-management\SKILL.md","security;Secure"
"c:\Users\ChenVincent\.claude\skills","global-claude","claude-api","C:\Users\ChenVincent\.claude\skills\claude-api","C:\Users\ChenVincent\.claude\skills\claude-api\SKILL.md","security"
"c:\Users\ChenVincent\.claude\skills","global-claude","configure-ecc","C:\Users\ChenVincent\.claude\skills\configure-ecc","C:\Users\ChenVincent\.claude\skills\configure-ecc\SKILL.md","security;CSRF;SQL injection;XSS;scan;Security;secret;Scan"
"c:\Users\ChenVincent\.claude\skills","global-claude","continuous-learning-v2","C:\Users\ChenVincent\.claude\skills\continuous-learning-v2","C:\Users\ChenVincent\.claude\skills\continuous-learning-v2\SKILL.md","Security"
"c:\Users\ChenVincent\.claude\skills","global-claude","cpp-testing","C:\Users\ChenVincent\.claude\skills\cpp-testing","C:\Users\ChenVincent\.claude\skills\cpp-testing\SKILL.md","injection"
"c:\Users\ChenVincent\.claude\skills","global-claude","customs-trade-compliance","C:\Users\ChenVincent\.claude\skills\customs-trade-compliance","C:\Users\ChenVincent\.claude\skills\customs-trade-compliance\SKILL.md","Security;security"
"c:\Users\ChenVincent\.claude\skills","global-claude","data-scraper-agent","C:\Users\ChenVincent\.claude\skills\data-scraper-agent","C:\Users\ChenVincent\.claude\skills\data-scraper-agent\SKILL.md","secret;Security;Secret"
"c:\Users\ChenVincent\.claude\skills","global-claude","deployment-patterns","C:\Users\ChenVincent\.claude\skills\deployment-patterns","C:\Users\ChenVincent\.claude\skills\deployment-patterns\SKILL.md","secret;SECRET;Security;scan;CVE"
"c:\Users\ChenVincent\.claude\skills","global-claude","django-patterns","C:\Users\ChenVincent\.claude\skills\django-patterns","C:\Users\ChenVincent\.claude\skills\django-patterns\SKILL.md","SECRET;security;Security;csrf;Csrf;SECURE;CSRF"
"c:\Users\ChenVincent\.claude\skills","global-claude","django-security","C:\Users\ChenVincent\.claude\skills\django-security","C:\Users\ChenVincent\.claude\skills\django-security\SKILL.md","securitysecurity security CSRF SQL injection XSS secure Security security vuln security security Security Security SECURE SECURE CSRF SECURE SECURE SECURE SECURE SECURE SECURE XSS CSRF CSRF Secret SECRET SECRET SECRET SECRET security security secure SQL Injection VULN Security XSS VULN SECURE SECURE XSS XSS Security XSS Security CSRF CSRF CSRF CSRF SECURE CSRF CSRF CSRF CSRF csrf CSRF csrf csrf csrf csrf Security Secure Security Security Security Security Secret SECRET SECRET SECRET secret Security security security Security secure secret SECRET CSRF XSS SQL injection Security security Security security"
"c:\Users\ChenVincent\.claude\skills","global-claude","django-verification","C:\Users\ChenVincent\.claude\skills\django-verification","C:\Users\ChenVincent\.claude\skills\django-verification\SKILL.md","security;scan;SECRET;Security;Scan;vuln;Secret;gitleaks;Vuln;secret;SECURE"
"c:\Users\ChenVincent\.claude\skills","global-claude","dmux-workflows","C:\Users\ChenVincent\.claude\skills\dmux-workflows","C:\Users\ChenVincent\.claude\skills\dmux-workflows\SKILL.md","security;vuln"
"c:\Users\ChenVincent\.claude\skills","global-claude","docker-patterns","C:\Users\ChenVincent\.claude\skills\docker-patterns","C:\Users\ChenVincent\.claude\skills\docker-patterns\SKILL.md","security;Security;Hardening;secret;Secret"
"c:\Users\ChenVincent\.claude\skills","global-claude","dotnet-sast-pipeline","C:\Users\ChenVincent\.claude\skills\dotnet-sast-pipeline","C:\Users\ChenVincent\.claude\skills\dotnet-sast-pipeline\SKILL.md","sastsast SAST vuln Scan CVE OWASP SAST sast sast sast semgrep sast sast sast security vuln CVE Semgrep OWASP semgrep Security Scan security scan Gitleaks gitleaks vuln vuln Semgrep owasp semgrep Security Scan Gitleaks gitleaks security Semgrep Semgrep Injection Semgrep Injection Semgrep vuln CVE Semgrep injection Semgrep Gitleaks Semgrep XSS Semgrep CSRF vuln vuln vuln SQL Injection secret sast sast sast security sast"
"c:\Users\ChenVincent\.claude\skills","global-claude","energy-procurement","C:\Users\ChenVincent\.claude\skills\energy-procurement","C:\Users\ChenVincent\.claude\skills\energy-procurement\SKILL.md","threat"
"c:\Users\ChenVincent\.claude\skills","global-claude","enterprise-agent-ops","C:\Users\ChenVincent\.claude\skills\enterprise-agent-ops","C:\Users\ChenVincent\.claude\skills\enterprise-agent-ops\SKILL.md","security;secret;injection"
"c:\Users\ChenVincent\.claude\skills","global-claude","eval-harness","C:\Users\ChenVincent\.claude\skills\eval-harness","C:\Users\ChenVincent\.claude\skills\eval-harness\SKILL.md","secure;security"
"c:\Users\ChenVincent\.claude\skills","global-claude","feed-catchup","C:\Users\ChenVincent\.claude\skills\feed-catchup","C:\Users\ChenVincent\.claude\skills\feed-catchup\SKILL.md","Scan"
"c:\Users\ChenVincent\.claude\skills","global-claude","frontend-patterns","C:\Users\ChenVincent\.claude\skills\frontend-patterns","C:\Users\ChenVincent\.claude\skills\frontend-patterns\SKILL.md","scan"
"c:\Users\ChenVincent\.claude\skills","global-claude","geo","C:\Users\ChenVincent\.claude\skills\geo","C:\Users\ChenVincent\.claude\skills\geo\SKILL.md","scan;Scan;security"
"c:\Users\ChenVincent\.claude\skills","global-claude","geo-brand-mentions","C:\Users\ChenVincent\.claude\skills\geo-brand-mentions","C:\Users\ChenVincent\.claude\skills\geo-brand-mentions\SKILL.md","scan;Scan"
"c:\Users\ChenVincent\.claude\skills","global-claude","geo-llmstxt","C:\Users\ChenVincent\.claude\skills\geo-llmstxt","C:\Users\ChenVincent\.claude\skills\geo-llmstxt\SKILL.md","scan"
"c:\Users\ChenVincent\.claude\skills","global-claude","geo-platform-optimizer","C:\Users\ChenVincent\.claude\skills\geo-platform-optimizer","C:\Users\ChenVincent\.claude\skills\geo-platform-optimizer\SKILL.md","scan"
"c:\Users\ChenVincent\.claude\skills","global-claude","geo-prospect","C:\Users\ChenVincent\.claude\skills\geo-prospect","C:\Users\ChenVincent\.claude\skills\geo-prospect\SKILL.md","scan"
"c:\Users\ChenVincent\.claude\skills","global-claude","geo-report","C:\Users\ChenVincent\.claude\skills\geo-report","C:\Users\ChenVincent\.claude\skills\geo-report\SKILL.md","Security"
"c:\Users\ChenVincent\.claude\skills","global-claude","geo-schema","C:\Users\ChenVincent\.claude\skills\geo-schema","C:\Users\ChenVincent\.claude\skills\geo-schema\SKILL.md","Scan"
"c:\Users\ChenVincent\.claude\skills","global-claude","geo-technical","C:\Users\ChenVincent\.claude\skills\geo-technical","C:\Users\ChenVincent\.claude\skills\geo-technical\SKILL.md","security;Security;XSS"
"c:\Users\ChenVincent\.claude\skills","global-claude","golang-patterns","C:\Users\ChenVincent\.claude\skills\golang-patterns","C:\Users\ChenVincent\.claude\skills\golang-patterns\SKILL.md","injection"
"c:\Users\ChenVincent\.claude\skills","global-claude","java-coding-standards","C:\Users\ChenVincent\.claude\skills\java-coding-standards","C:\Users\ChenVincent\.claude\skills\java-coding-standards\SKILL.md","injection"
"c:\Users\ChenVincent\.claude\skills","global-claude","kotlin-exposed-patterns","C:\Users\ChenVincent\.claude\skills\kotlin-exposed-patterns","C:\Users\ChenVincent\.claude\skills\kotlin-exposed-patterns\SKILL.md","injection"
"c:\Users\ChenVincent\.claude\skills","global-claude","kotlin-ktor-patterns","C:\Users\ChenVincent\.claude\skills\kotlin-ktor-patterns","C:\Users\ChenVincent\.claude\skills\kotlin-ktor-patterns\SKILL.md","injection;Secret;secret;Injection;SECRET"
"c:\Users\ChenVincent\.claude\skills","global-claude","kotlin-testing","C:\Users\ChenVincent\.claude\skills\kotlin-testing","C:\Users\ChenVincent\.claude\skills\kotlin-testing\SKILL.md","secret"
"c:\Users\ChenVincent\.claude\skills","global-claude","laravel-patterns","C:\Users\ChenVincent\.claude\skills\laravel-patterns","C:\Users\ChenVincent\.claude\skills\laravel-patterns\SKILL.md","secret"
"c:\Users\ChenVincent\.claude\skills","global-claude","laravel-plugin-discovery","C:\Users\ChenVincent\.claude\skills\laravel-plugin-discovery","C:\Users\ChenVincent\.claude\skills\laravel-plugin-discovery\SKILL.md","security"
"c:\Users\ChenVincent\.claude\skills","global-claude","laravel-security","C:\Users\ChenVincent\.claude\skills\laravel-security","C:\Users\ChenVincent\.claude\skills\laravel-security\SKILL.md","securitysecurity security CSRF secret secure Security security vuln secret Hardening CSRF Csrf security Security Security SECURE Hardening Security SQL Injection XSS CSRF Csrf csrf Scan Secret secret secret Security Security Security Security csrf CSRF Security CVE"
