"source_root","source_bucket","skill_name","skill_path","skill_md_path","matched_keywords"
"c:\Users\ChenVincent\.claude\skills","global-claude","agentic-engineering","C:\Users\ChenVincent\.claude\skills\agentic-engineering","C:\Users\ChenVincent\.claude\skills\agentic-engineering\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","ai-first-engineering","C:\Users\ChenVincent\.claude\skills\ai-first-engineering","C:\Users\ChenVincent\.claude\skills\ai-first-engineering\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","ai-regression-testing","C:\Users\ChenVincent\.claude\skills\ai-regression-testing","C:\Users\ChenVincent\.claude\skills\ai-regression-testing\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","android-clean-architecture","C:\Users\ChenVincent\.claude\skills\android-clean-architecture","C:\Users\ChenVincent\.claude\skills\android-clean-architecture\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","api-design","C:\Users\ChenVincent\.claude\skills\api-design","C:\Users\ChenVincent\.claude\skills\api-design\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","autonomous-loops","C:\Users\ChenVincent\.claude\skills\autonomous-loops","C:\Users\ChenVincent\.claude\skills\autonomous-loops\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","backend-patterns","C:\Users\ChenVincent\.claude\skills\backend-patterns","C:\Users\ChenVincent\.claude\skills\backend-patterns\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","blueprint","C:\Users\ChenVincent\.claude\skills\blueprint","C:\Users\ChenVincent\.claude\skills\blueprint\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","book-review","C:\Users\ChenVincent\.claude\skills\book-review","C:\Users\ChenVincent\.claude\skills\book-review\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","build-persona","C:\Users\ChenVincent\.claude\skills\build-persona","C:\Users\ChenVincent\.claude\skills\build-persona\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","carrier-relationship-management","C:\Users\ChenVincent\.claude\skills\carrier-relationship-management","C:\Users\ChenVincent\.claude\skills\carrier-relationship-management\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","claude-api","C:\Users\ChenVincent\.claude\skills\claude-api","C:\Users\ChenVincent\.claude\skills\claude-api\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","claude-devfleet","C:\Users\ChenVincent\.claude\skills\claude-devfleet","C:\Users\ChenVincent\.claude\skills\claude-devfleet\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","clickhouse-io","C:\Users\ChenVincent\.claude\skills\clickhouse-io","C:\Users\ChenVincent\.claude\skills\clickhouse-io\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","coding-standards","C:\Users\ChenVincent\.claude\skills\coding-standards","C:\Users\ChenVincent\.claude\skills\coding-standards\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","configure-ecc","C:\Users\ChenVincent\.claude\skills\configure-ecc","C:\Users\ChenVincent\.claude\skills\configure-ecc\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","content-engine","C:\Users\ChenVincent\.claude\skills\content-engine","C:\Users\ChenVincent\.claude\skills\content-engine\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","continuous-learning-v2","C:\Users\ChenVincent\.claude\skills\continuous-learning-v2","C:\Users\ChenVincent\.claude\skills\continuous-learning-v2\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","cost-aware-llm-pipeline","C:\Users\ChenVincent\.claude\skills\cost-aware-llm-pipeline","C:\Users\ChenVincent\.claude\skills\cost-aware-llm-pipeline\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","cpp-testing","C:\Users\ChenVincent\.claude\skills\cpp-testing","C:\Users\ChenVincent\.claude\skills\cpp-testing\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","crosspost","C:\Users\ChenVincent\.claude\skills\crosspost","C:\Users\ChenVincent\.claude\skills\crosspost\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","customs-trade-compliance","C:\Users\ChenVincent\.claude\skills\customs-trade-compliance","C:\Users\ChenVincent\.claude\skills\customs-trade-compliance\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","data-scraper-agent","C:\Users\ChenVincent\.claude\skills\data-scraper-agent","C:\Users\ChenVincent\.claude\skills\data-scraper-agent\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","database-migrations","C:\Users\ChenVincent\.claude\skills\database-migrations","C:\Users\ChenVincent\.claude\skills\database-migrations\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","deployment-patterns","C:\Users\ChenVincent\.claude\skills\deployment-patterns","C:\Users\ChenVincent\.claude\skills\deployment-patterns\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","django-patterns","C:\Users\ChenVincent\.claude\skills\django-patterns","C:\Users\ChenVincent\.claude\skills\django-patterns\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","django-security","C:\Users\ChenVincent\.claude\skills\django-security","C:\Users\ChenVincent\.claude\skills\django-security\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","django-tdd","C:\Users\ChenVincent\.claude\skills\django-tdd","C:\Users\ChenVincent\.claude\skills\django-tdd\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","django-verification","C:\Users\ChenVincent\.claude\skills\django-verification","C:\Users\ChenVincent\.claude\skills\django-verification\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","dmux-workflows","C:\Users\ChenVincent\.claude\skills\dmux-workflows","C:\Users\ChenVincent\.claude\skills\dmux-workflows\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","doc-coauthoring","C:\Users\ChenVincent\.claude\skills\doc-coauthoring","C:\Users\ChenVincent\.claude\skills\doc-coauthoring\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","docker-patterns","C:\Users\ChenVincent\.claude\skills\docker-patterns","C:\Users\ChenVincent\.claude\skills\docker-patterns\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","docx","C:\Users\ChenVincent\.claude\skills\docx","C:\Users\ChenVincent\.claude\skills\docx\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","dotnet-sast-pipeline","C:\Users\ChenVincent\.claude\skills\dotnet-sast-pipeline","C:\Users\ChenVincent\.claude\skills\dotnet-sast-pipeline\SKILL.md","Matched"
"c:\Users\ChenVincent\.claude\skills","global-claude","e2e-testing","C:\Users\ChenVincent\.claude\skills\e2e-testing","C:\Users\ChenVincent\.claude\skills\e2e-testing\SKILL.md","Matched"
